UserName	Email	Password	FirstName	SecondName	LastName	SecondLastName	FPV	CI	Letter	Nationality	BornDate	Genre	ContactEmail	ShowContactEmail	PublicPhone	ShowPublicPhone	ServiceAddress	ShowPublicServiceAddress	Solvent	MunicipalityCarabobo	PhoneCarabobo	CelPhoneCarabobo	State	MunicipalityOutSideCarabobo	PhoneOutSideCarabobo	CelPhoneOutSideCarabobo	UniversityUndergraduate	GraduateDate	MentionUndergraduate	RegisterTitleState	RegisterTitleDate	RegisterNumber	RegisterFolio	RegisterTome	GuildDirector	SixtyFiveOrPlus	GuildCollaborator	PublicEmployee	UniversityProfessor	DateOfLastSolvency	DoubleGuild	CPSM
abeck	abeck@colpsi.org.ve	Colpsi2025!	Aaron	Temkin	Beck	-	13	1000013	E	V	1921-07-18	M	contacto.abeck@gmail.com	true	0241-1000091	true	Av. Principal, Edif. Psico 13, San Joaquín	true	false	San Joaquín	0241-1000091	0414-2000039	-	-	-	-	UNESR	1943-06-01	Desarrollo	Carabobo	1944-03-15	13	13	1	false	true	true	false	true	2024-01-15	false	false
aellis	aellis@colpsi.org.ve	Colpsi2025!	Albert	-	Ellis	-	14	1000014	E	V	1913-09-27	M	contacto.aellis@gmail.com	true	0241-1000098	true	Av. Principal, Edif. Psico 14, Libertador	true	false	Libertador	0241-1000098	0414-2000042	-	-	-	-	UDO	1940-06-01	Psicoanálisis	Carabobo	1941-03-15	14	14	1	false	true	false	false	false	2024-01-15	false	false
mainsworth	mainsworth@colpsi.org.ve	Colpsi2025!	Mary	Dinsmore	Ainsworth	Salter	15	1000015	E	V	1913-12-01	F	contacto.mainsworth@gmail.com	true	0241-1000105	true	Av. Principal, Edif. Psico 15, Los Guayos	true	false	Los Guayos	0241-1000105	0414-2000045	-	-	-	-	Columbia	1937-06-01	Organizacional	Carabobo	1938-03-15	15	15	1	false	true	false	true	false	2024-01-15	false	false
afreud	afreud@colpsi.org.ve	Colpsi2025!	Anna	-	Freud	Bernays	16	1000016	E	V	1895-12-03	F	contacto.afreud@gmail.com	true	0241-1000112	true	Av. Principal, Edif. Psico 16, Diego Ibarra	true	true	Diego Ibarra	0241-1000112	0414-2000048	-	-	-	-	UNEXPO	1919-06-01	Infantil	Carabobo	1920-03-15	16	16	1	false	true	false	false	true	2024-01-15	false	false
mklein	mklein@colpsi.org.ve	Colpsi2025!	Melanie	Reizes	Klein	-	17	1000017	E	V	1882-03-30	F	contacto.mklein@gmail.com	true	0241-1000119	true	Av. Principal, Edif. Psico 17, San Diego	true	true	San Diego	0241-1000119	0414-2000051	-	-	-	-	USB	1909-06-01	Forense	Carabobo	1910-03-15	17	17	1	false	true	true	false	false	2024-01-15	false	false
khorney	khorney@colpsi.org.ve	Colpsi2025!	Karen	Danielsen	Horney	-	18	1000018	E	V	1885-09-16	F	contacto.khorney@gmail.com	true	0241-1000126	true	Av. Principal, Edif. Psico 18, San Diego	true	false	San Diego	0241-1000126	0414-2000054	-	-	-	-	UNAM	1908-06-01	Laboral	Carabobo	1909-03-15	18	18	1	false	true	false	false	false	2024-01-15	false	false
gallport	gallport@colpsi.org.ve	Colpsi2025!	Gordon	Willard	Allport	-	19	1000019	E	V	1897-11-11	M	contacto.gallport@gmail.com	true	0241-1000133	true	Av. Principal, Edif. Psico 19, Carlos Arvelo	true	true	Carlos Arvelo	0241-1000133	0414-2000057	-	-	-	-	MIT	1921-06-01	Humanista	Carabobo	1922-03-15	19	19	1	false	true	false	false	true	2024-01-15	false	false
pzimbardo	pzimbardo@colpsi.org.ve	Colpsi2025!	Philip	George	Zimbardo	-	20	1000020	E	V	1933-03-23	M	contacto.pzimbardo@gmail.com	true	0241-1000140	true	Av. Principal, Edif. Psico 20, Los Guayos	true	true	Los Guayos	0241-1000140	0414-2000060	-	-	-	-	UNAM	1960-06-01	Social	Carabobo	1961-03-15	20	20	2	false	true	false	false	false	2024-01-15	false	false
heysenck	heysenck@colpsi.org.ve	Colpsi2025!	Hans	Jürgen	Eysenck	-	21	1000021	E	V	1916-03-04	M	contacto.heysenck@gmail.com	false	+1-555021	false	Office 21, International District	true	true	-	-	-	Estados Unidos	-	+1-555021	+1-666021	UCV	1944-06-01	Social	Estados Unidos	1945-03-15	21	21	2	false	true	true	false	false	2024-01-15	false	false
wdilthey	wdilthey@colpsi.org.ve	Colpsi2025!	Wilhelm	-	Dilthey	-	22	1000022	E	V	1833-11-19	M	contacto.wdilthey@gmail.com	false	+1-555022	true	Office 22, International District	false	true	-	-	-	España	-	+1-555022	+1-666022	UDO	1856-06-01	Educativa	España	1857-03-15	22	22	2	false	true	false	true	true	2024-01-15	false	false
jwundt	jwundt@colpsi.org.ve	Colpsi2025!	Wilhelm	Maximilian	Wundt	-	23	1000023	E	V	1832-08-16	M	contacto.jwundt@gmail.com	true	+1-555023	false	Office 23, International District	true	true	-	-	-	Colombia	-	+1-555023	+1-666023	Yale	1857-06-01	Infantil	Colombia	1858-03-15	23	23	2	false	true	false	false	false	2024-01-15	false	false
gstanley	gstanley@colpsi.org.ve	Colpsi2025!	Granville	Stanley	Hall	-	24	1000024	E	V	1844-02-01	M	contacto.gstanley@gmail.com	false	+1-555024	false	Office 24, International District	false	true	-	-	-	Chile	-	+1-555024	+1-666024	UNESR	1870-06-01	Laboral	Chile	1871-03-15	24	24	2	false	true	false	false	false	2024-01-15	false	false
efromm	efromm@colpsi.org.ve	Colpsi2025!	Erich	Pinchas	Fromm	Krause	25	1000025	E	V	1900-03-23	M	contacto.efromm@gmail.com	true	+1-555025	true	Office 25, International District	false	true	-	-	-	Argentina	-	+1-555025	+1-666025	Columbia	1923-06-01	Social	Argentina	1924-03-15	25	25	2	false	true	true	false	true	2024-01-15	false	false
jsullivan	jsullivan@colpsi.org.ve	Colpsi2025!	Harry	Stack	Sullivan	-	26	1000026	E	V	1892-02-21	M	contacto.jsullivan@gmail.com	true	+1-555026	false	Office 26, International District	true	true	-	-	-	México	-	+1-555026	+1-666026	ULA	1919-06-01	Organizacional	México	1920-03-15	26	26	2	false	true	false	false	false	2024-01-15	false	false
rlaing	rlaing@colpsi.org.ve	Colpsi2025!	Ronald	David	Laing	-	27	1000027	E	V	1927-10-07	M	contacto.rlaing@gmail.com	true	+1-555027	false	Office 27, International District	false	true	-	-	-	Canadá	-	+1-555027	+1-666027	Yale	1953-06-01	Humanista	Canadá	1954-03-15	27	27	2	false	true	false	false	false	2024-01-15	false	false
jbowlby	jbowlby@colpsi.org.ve	Colpsi2025!	John	-	Bowlby	-	28	1000028	E	V	1907-02-26	M	contacto.jbowlby@gmail.com	true	+1-555028	false	Office 28, International District	false	true	-	-	-	Brasil	-	+1-555028	+1-666028	ULA	1933-06-01	Infantil	Brasil	1934-03-15	28	28	2	false	true	false	false	true	2024-01-15	false	false
dwnicol	dwnicol@colpsi.org.ve	Colpsi2025!	Donald	Woods	Winnicott	-	29	1000029	E	V	1896-04-07	M	contacto.dwnicol@gmail.com	false	+1-555029	true	Office 29, International District	false	false	-	-	-	Peru	-	+1-555029	+1-666029	UNEFM	1919-06-01	Humanista	Peru	1920-03-15	29	29	2	false	true	true	true	false	2024-01-15	false	false
hkohut	hkohut@colpsi.org.ve	Colpsi2025!	Heinz	-	Kohut	-	30	1000030	E	V	1913-05-03	M	contacto.hkohut@gmail.com	true	+1-555030	false	Office 30, International District	true	true	-	-	-	Uruguay	-	+1-555030	+1-666030	Cambridge	1936-06-01	Comunitaria	Uruguay	1937-03-15	30	30	2	false	true	false	false	false	2024-01-15	false	false
fperls	fperls@colpsi.org.ve	Colpsi2025!	Frederick	Salomon	Perls	Posner	31	1000031	E	V	1893-07-08	M	contacto.fperls@gmail.com	false	+1-555031	true	Office 31, International District	true	true	-	-	-	Portugal	-	+1-555031	+1-666031	UCAB	1921-06-01	Conductista	Portugal	1922-03-15	31	31	2	false	true	false	false	true	2024-01-15	false	false
vrollo	vrollo@colpsi.org.ve	Colpsi2025!	Rollo	-	May	-	32	1000032	E	V	1909-04-21	M	contacto.vrollo@gmail.com	true	+1-555032	false	Office 32, International District	false	false	-	-	-	Italia	-	+1-555032	+1-666032	Oxford	1931-06-01	Clínica	Italia	1932-03-15	32	32	2	false	true	false	false	false	2024-01-15	false	false
vfrank	vfrank@colpsi.org.ve	Colpsi2025!	Viktor	Emil	Frankl	-	33	1000033	E	V	1905-03-26	M	contacto.vfrank@gmail.com	false	+1-555033	true	Office 33, International District	true	false	-	-	-	Francia	-	+1-555033	+1-666033	UCV	1931-06-01	Social	Francia	1932-03-15	33	33	2	false	true	true	false	false	2024-01-15	false	false
lbinet	lbinet@colpsi.org.ve	Colpsi2025!	Alfred	-	Binet	-	34	1000034	E	V	1857-07-08	M	contacto.lbinet@gmail.com	false	+1-555034	true	Office 34, International District	true	true	-	-	-	Alemania	-	+1-555034	+1-666034	USB	1883-06-01	Comunitaria	Alemania	1884-03-15	34	34	2	false	true	false	false	true	2024-01-15	false	false
cspearman	cspearman@colpsi.org.ve	Colpsi2025!	Charles	Edward	Spearman	-	35	1000035	E	V	1863-09-10	M	contacto.cspearman@gmail.com	true	+1-555035	true	Office 35, International District	false	false	-	-	-	Australia	-	+1-555035	+1-666035	UNAM	1887-06-01	Organizacional	Australia	1888-03-15	35	35	2	false	true	false	false	false	2024-01-15	false	false
lguilford	lguilford@colpsi.org.ve	Colpsi2025!	Joy	Paul	Guilford	-	36	1000036	E	V	1897-03-07	M	contacto.lguilford@gmail.com	true	0212-1000396	true	Calle Principal, Amazonas	true	false	-	-	-	Amazonas	Municipio Amaz	0212-1000396	0412-3000180	UNEFM	1924-06-01	Humanista	Amazonas	1925-03-15	36	36	2	false	true	false	true	false	2024-01-15	false	false
rcattell	rcattell@colpsi.org.ve	Colpsi2025!	Raymond	Bernard	Cattell	-	37	1000037	E	V	1905-03-20	M	contacto.rcattell@gmail.com	true	0212-1000407	true	Calle Principal, Anzoátegui	true	true	-	-	-	Anzoátegui	Municipio Anzo	0212-1000407	0412-3000185	Columbia	1931-06-01	Psicoanálisis	Anzoátegui	1932-03-15	37	37	2	false	true	true	false	true	2024-01-15	false	false
hmurray	hmurray@colpsi.org.ve	Colpsi2025!	Henry	Alexander	Murray	-	38	1000038	E	V	1893-05-13	M	contacto.hmurray@gmail.com	true	0212-1000418	true	Calle Principal, Apure	true	true	-	-	-	Apure	Municipio Apur	0212-1000418	0412-3000190	MIT	1916-06-01	Educativa	Apure	1917-03-15	38	38	2	false	true	false	false	false	2024-01-15	false	false
gsherif	gsherif@colpsi.org.ve	Colpsi2025!	Muzafer	-	Sherif	Bozok	39	1000039	E	V	1906-07-29	M	contacto.gsherif@gmail.com	true	0212-1000429	true	Calle Principal, Aragua	true	false	-	-	-	Aragua	Municipio Arag	0212-1000429	0412-3000195	UNESR	1930-06-01	Educativa	Aragua	1931-03-15	39	39	2	false	true	false	false	false	2024-01-15	false	false
sasch	sasch@colpsi.org.ve	Colpsi2025!	Solomon	Eliot	Asch	-	40	1000040	E	V	1907-09-14	M	contacto.sasch@gmail.com	true	0212-1000440	true	Calle Principal, Barinas	true	true	-	-	-	Barinas	Municipio Bari	0212-1000440	0412-3000200	UC	1933-06-01	Forense	Barinas	1934-03-15	40	40	3	false	true	false	false	true	2024-01-15	false	false
lzajonc	lzajonc@colpsi.org.ve	Colpsi2025!	Robert	Bolesław	Zajonc	-	41	1000041	E	V	1923-11-23	M	contacto.lzajonc@gmail.com	true	0212-1000451	true	Calle Principal, Bolívar	true	true	-	-	-	Bolívar	Municipio Bolí	0212-1000451	0412-3000205	UNESR	1946-06-01	Forense	Bolívar	1947-03-15	41	41	3	false	true	true	false	false	2024-01-15	false	false
sfestinger	sfestinger@colpsi.org.ve	Colpsi2025!	Leon	-	Festinger	-	42	1000042	E	V	1919-05-08	M	contacto.sfestinger@gmail.com	true	0212-1000462	true	Calle Principal, Cojedes	true	false	-	-	-	Cojedes	Municipio Coje	0212-1000462	0412-3000210	UC	1946-06-01	Educativa	Cojedes	1947-03-15	42	42	3	false	true	false	false	false	2024-01-15	false	false
dmilgram	dmilgram@colpsi.org.ve	Colpsi2025!	Stanley	-	Milgram	-	43	1000043	E	V	1933-08-15	M	contacto.dmilgram@gmail.com	true	0212-1000473	true	Calle Principal, Delta Amacuro	true	true	-	-	-	Delta Amacuro	Municipio Delt	0212-1000473	0412-3000215	UCV	1955-06-01	Social	Delta Amacuro	1956-03-15	43	43	3	false	true	false	true	true	2024-01-15	false	false
dweiner	dweiner@colpsi.org.ve	Colpsi2025!	Bernard	-	Weiner	-	44	1000044	E	V	1935-06-19	M	contacto.dweiner@gmail.com	true	0212-1000484	true	Calle Principal, Distrito Capital	true	true	-	-	-	Distrito Capital	Municipio Dist	0212-1000484	0412-3000220	UCV	1959-06-01	Desarrollo	Distrito Capital	1960-03-15	44	44	3	false	true	false	false	false	2024-01-15	false	false
elocke	elocke@colpsi.org.ve	Colpsi2025!	Edwin	Allen	Locke	-	45	1000045	E	V	1938-01-05	M	contacto.elocke@gmail.com	true	0212-1000495	true	Calle Principal, Falcón	true	false	-	-	-	Falcón	Municipio Falc	0212-1000495	0412-3000225	USB	1961-06-01	Neuropsicología	Falcón	1962-03-15	45	45	3	false	true	true	false	false	2024-01-15	false	false
bdeci	bdeci@colpsi.org.ve	Colpsi2025!	Edward	Lewis	Deci	-	46	1000046	E	V	1942-05-07	M	contacto.bdeci@gmail.com	true	0212-1000506	true	Calle Principal, Guárico	true	false	-	-	-	Guárico	Municipio Guár	0212-1000506	0412-3000230	UDO	1967-06-01	Infantil	Guárico	1968-03-15	46	46	3	false	true	false	false	true	2024-01-15	false	false
mryan	mryan@colpsi.org.ve	Colpsi2025!	Richard	Merrill	Ryan	-	47	1000047	E	V	1953-03-16	M	contacto.mryan@gmail.com	true	0212-1000517	true	Calle Principal, Lara	true	true	-	-	-	Lara	Municipio Lara	0212-1000517	0412-3000235	UNEXPO	1976-06-01	Neuropsicología	Lara	1977-03-15	47	47	3	false	true	false	false	false	2024-01-15	false	false
aseligman	aseligman@colpsi.org.ve	Colpsi2025!	Martin	Elias	Seligman	-	48	1000048	E	V	1942-08-12	M	contacto.aseligman@gmail.com	true	0212-1000528	true	Calle Principal, La Guaira	true	true	-	-	-	La Guaira	Municipio La G	0212-1000528	0412-3000240	Univ. Buenos Aires	1967-06-01	Forense	La Guaira	1968-03-15	48	48	3	false	true	false	false	false	2024-01-15	false	false
mcsikszentmihalyi	mcsikszentmihalyi@colpsi.org.ve	Colpsi2025!	Mihaly	-	Csikszentmihalyi	-	49	1000049	E	V	1934-09-29	M	contacto.mcsikszentmihalyi@gmail.com	true	0212-1000539	true	Calle Principal, Mérida	true	true	-	-	-	Mérida	Municipio Méri	0212-1000539	0412-3000245	UNESR	1959-06-01	Comunitaria	Mérida	1960-03-15	49	49	3	false	true	true	false	true	2024-01-15	false	false
bfredrickson	bfredrickson@colpsi.org.ve	Colpsi2025!	Barbara	Lee	Fredrickson	-	50	1000050	E	V	1964-06-08	F	contacto.bfredrickson@gmail.com	true	0212-1000550	true	Calle Principal, Miranda	true	true	-	-	-	Miranda	Municipio Mira	0212-1000550	0412-3000250	Stanford	1986-06-01	Social	Miranda	1987-03-15	50	50	3	false	false	false	true	false	2024-01-15	false	false
ediner	ediner@colpsi.org.ve	Colpsi2025!	Ed	-	Diener	-	51	1000051	E	V	1946-01-01	M	contacto.ediner@gmail.com	true	0212-1000561	true	Calle Principal, Monagas	true	true	-	-	-	Monagas	Municipio Mona	0212-1000561	0412-3000255	ULA	1971-06-01	Infantil	Monagas	1972-03-15	51	51	3	false	true	false	false	false	2024-01-15	false	false
dsleep	dsleep@colpsi.org.ve	Colpsi2025!	Daniel	James	Kahneman	-	52	1000052	E	V	1934-03-05	M	contacto.dsleep@gmail.com	true	0212-1000572	true	Calle Principal, Nueva Esparta	true	true	-	-	-	Nueva Esparta	Municipio Nuev	0212-1000572	0412-3000260	Columbia	1959-06-01	Humanista	Nueva Esparta	1960-03-15	52	52	3	false	true	false	false	true	2024-01-15	false	false
ataversky	ataversky@colpsi.org.ve	Colpsi2025!	Amos	-	Tversky	-	53	1000053	E	V	1937-03-16	M	contacto.ataversky@gmail.com	true	0212-1000583	true	Calle Principal, Portuguesa	true	true	-	-	-	Portuguesa	Municipio Port	0212-1000583	0412-3000265	MIT	1964-06-01	Desarrollo	Portuguesa	1965-03-15	53	53	3	false	true	true	false	false	2024-01-15	false	false
pekman	pekman@colpsi.org.ve	Colpsi2025!	Paul	-	Ekman	-	54	1000054	E	V	1934-02-15	M	contacto.pekman@gmail.com	true	0212-1000594	true	Calle Principal, Sucre	true	true	-	-	-	Sucre	Municipio Sucr	0212-1000594	0412-3000270	UCV	1961-06-01	Infantil	Sucre	1962-03-15	54	54	3	false	true	false	false	false	2024-01-15	false	false
jgross	jgross@colpsi.org.ve	Colpsi2025!	James	John	Gross	-	55	1000055	E	V	1959-11-11	M	contacto.jgross@gmail.com	true	0212-1000605	true	Calle Principal, Táchira	true	false	-	-	-	Táchira	Municipio Tách	0212-1000605	0412-3000275	ULA	1984-06-01	Clínica	Táchira	1985-03-15	55	55	3	false	true	false	false	true	2024-01-15	false	false
ntropp	ntropp@colpsi.org.ve	Colpsi2025!	Linda	Rose	Tropp	-	56	1000056	E	V	1967-01-01	F	contacto.ntropp@gmail.com	true	0241-1000392	true	Av. Principal, Edif. Psico 56, Naguanagua	true	true	Naguanagua	0241-1000392	0414-2000168	-	-	-	-	Harvard	1995-06-01	Comunitaria	Carabobo	1996-03-15	56	56	3	false	false	false	false	false	2024-01-15	false	false
scole	scole@colpsi.org.ve	Colpsi2025!	Stephanie	Winifred	Coles	-	57	1000057	E	V	1952-01-01	F	contacto.scole@gmail.com	true	0241-1000399	true	Av. Principal, Edif. Psico 57, Bejuma	true	true	Bejuma	0241-1000399	0414-2000171	-	-	-	-	UNESR	1975-06-01	Social	Carabobo	1976-03-15	57	57	3	false	true	true	true	false	2024-01-15	false	false
jelliott	jelliott@colpsi.org.ve	Colpsi2025!	Andrew	John	Elliot	-	58	1000058	E	V	1963-01-01	M	contacto.jelliott@gmail.com	true	0241-1000406	true	Av. Principal, Edif. Psico 58, San Diego	true	true	San Diego	0241-1000406	0414-2000174	-	-	-	-	MIT	1988-06-01	Organizacional	Carabobo	1989-03-15	58	58	3	false	false	false	false	true	2024-01-15	false	false
mdweck	mdweck@colpsi.org.ve	Colpsi2025!	Carol	Susan	Dweck	-	59	1000059	E	V	1946-10-17	F	contacto.mdweck@gmail.com	true	0241-1000413	true	Av. Principal, Edif. Psico 59, Libertador	true	true	Libertador	0241-1000413	0414-2000177	-	-	-	-	UDO	1969-06-01	Psicoanálisis	Carabobo	1970-03-15	59	59	3	false	true	false	false	false	2024-01-15	false	false
abandura2	abandura2@colpsi.org.ve	Colpsi2025!	Dale	Helbert	Schunk	-	60	1000060	E	V	1944-01-01	M	contacto.abandura2@gmail.com	true	0241-1000420	true	Av. Principal, Edif. Psico 60, Libertador	true	true	Libertador	0241-1000420	0414-2000180	-	-	-	-	USB	1972-06-01	Psicoanálisis	Carabobo	1973-03-15	60	60	4	false	true	false	false	false	2024-01-15	false	false
jcantor	jcantor@colpsi.org.ve	Colpsi2025!	Joanne	-	Cantor	-	61	1000061	E	V	1945-01-01	F	contacto.jcantor@gmail.com	true	0241-1000427	true	Av. Principal, Edif. Psico 61, Carlos Arvelo	true	true	Carlos Arvelo	0241-1000427	0414-2000183	-	-	-	-	UNAM	1967-06-01	Educativa	Carabobo	1968-03-15	61	61	4	false	true	true	false	true	2024-01-15	false	false
rbaron	rbaron@colpsi.org.ve	Colpsi2025!	Robert	Alan	Baron	-	62	1000062	E	V	1943-01-01	M	contacto.rbaron@gmail.com	true	0241-1000434	true	Av. Principal, Edif. Psico 62, Naguanagua	true	true	Naguanagua	0241-1000434	0414-2000186	-	-	-	-	UNAM	1965-06-01	Desarrollo	Carabobo	1966-03-15	62	62	4	false	true	false	false	false	2024-01-15	false	false
dbuss	dbuss@colpsi.org.ve	Colpsi2025!	David	Michael	Buss	-	63	1000063	E	V	1953-04-14	M	contacto.dbuss@gmail.com	true	0241-1000441	true	Av. Principal, Edif. Psico 63, Montalbán	true	false	Montalbán	0241-1000441	0414-2000189	-	-	-	-	UNESR	1978-06-01	Organizacional	Carabobo	1979-03-15	63	63	4	false	true	false	false	false	2024-01-15	false	false
spinker	spinker@colpsi.org.ve	Colpsi2025!	Steven	Arthur	Pinker	-	64	1000064	E	V	1954-09-18	M	contacto.spinker@gmail.com	true	0241-1000448	true	Av. Principal, Edif. Psico 64, San Joaquín	true	true	San Joaquín	0241-1000448	0414-2000192	-	-	-	-	Oxford	1982-06-01	Social	Carabobo	1983-03-15	64	64	4	false	true	false	true	true	2024-01-15	false	false
ajtobach	ajtobach@colpsi.org.ve	Colpsi2025!	Richard	James	Davidson	-	65	1000065	E	V	1951-12-12	M	contacto.ajtobach@gmail.com	true	0241-1000455	true	Av. Principal, Edif. Psico 65, Valencia	true	true	Valencia	0241-1000455	0414-2000195	-	-	-	-	UCV	1976-06-01	Organizacional	Carabobo	1977-03-15	65	65	4	false	true	true	false	false	2024-01-15	false	false
slapez	slapez@colpsi.org.ve	Colpsi2025!	Sandra	-	López	Maza	66	1000066	E	V	1970-03-15	F	contacto.slapez@gmail.com	true	0241-1000462	true	Av. Principal, Edif. Psico 66, Juan José Mora	true	true	Juan José Mora	0241-1000462	0414-2000198	-	-	-	-	Yale	1998-06-01	Cognitiva	Carabobo	1999-03-15	66	66	4	false	false	false	false	false	2024-01-15	false	false
mgarcia	mgarcia@colpsi.org.ve	Colpsi2025!	María	Eugenia	García	Rodríguez	67	1000067	E	V	1975-07-22	F	contacto.mgarcia@gmail.com	true	0241-1000469	true	Av. Principal, Edif. Psico 67, Diego Ibarra	true	false	Diego Ibarra	0241-1000469	0414-2000201	-	-	-	-	MIT	2000-06-01	Cognitiva	Carabobo	2001-03-15	67	67	4	false	false	false	false	true	2024-01-15	false	false
